[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | INFO: Tag[ app_begin ] --START--
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000739s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000831s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | SQL: SHOW COLUMNS FROM `hd_follow` [ RunTime:0.072427s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | SQL: SELECT `follow` FROM `hd_follow` WHERE ( `fans` = '2' )  [ RunTime:0.000270s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | SQL: SHOW COLUMNS FROM `hd_weibo` [ RunTime:0.007608s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | SQL: SHOW COLUMNS FROM `hd_userinfo` [ RunTime:0.016008s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | SQL: SHOW COLUMNS FROM `hd_picture` [ RunTime:0.008450s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.uid AS uid,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.uid IN ('2','5','5','4') )  [ RunTime:0.000421s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | INFO: Tag[ view_template ] --START--
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000786s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000838s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | INFO: Tag[ view_parse ] --START--
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | SQL: SELECT `style` FROM `hd_userinfo` WHERE ( `uid` = '2' ) LIMIT 1   [ RunTime:0.000285s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | SQL: SELECT `username` FROM `hd_userinfo` WHERE ( `uid` = '2' ) LIMIT 1   [ RunTime:0.000152s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | SQL: SHOW COLUMNS FROM `hd_group` [ RunTime:0.004879s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | SQL: SELECT * FROM `hd_group` WHERE ( `uid` = '2' )  [ RunTime:0.000643s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | SQL: SELECT * FROM `hd_group` WHERE ( `uid` = '2' )  [ RunTime:0.001539s ]
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: page e9ca3d00a40c8a0e158f18fe2252bc69.php 第 413 行.
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: uid e9ca3d00a40c8a0e158f18fe2252bc69.php 第 421 行.
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: face e9ca3d00a40c8a0e158f18fe2252bc69.php 第 422 行.
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: username e9ca3d00a40c8a0e158f18fe2252bc69.php 第 422 行.
[ 2015-07-20T09:11:24+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: uid e9ca3d00a40c8a0e158f18fe2252bc69.php 第 426 行.
