[ 2015-07-21T14:27:30+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run CheckRoute Behavior [ RunTime:0.000842s ]
[ 2015-07-21T14:27:30+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.000901s ]
[ 2015-07-21T14:27:30+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --START--
[ 2015-07-21T14:27:30+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000609s ]
[ 2015-07-21T14:27:30+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000648s ]
[ 2015-07-21T14:28:26+08:00 ] /fweibo/index.php/Index/turn | INFO: Tag[ route_check ] --START--
[ 2015-07-21T14:28:26+08:00 ] /fweibo/index.php/Index/turn | INFO: Run CheckRoute Behavior [ RunTime:0.001372s ]
[ 2015-07-21T14:28:26+08:00 ] /fweibo/index.php/Index/turn | INFO: Tag[ route_check ] --END-- [ RunTime:0.001470s ]
[ 2015-07-21T14:28:26+08:00 ] /fweibo/index.php/Index/turn | INFO: Tag[ app_begin ] --START--
[ 2015-07-21T14:28:26+08:00 ] /fweibo/index.php/Index/turn | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000845s ]
[ 2015-07-21T14:28:26+08:00 ] /fweibo/index.php/Index/turn | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001063s ]
[ 2015-07-21T14:28:26+08:00 ] /fweibo/index.php/Index/turn | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2015-07-21T14:28:26+08:00 ] /fweibo/index.php/Index/turn | SQL: SHOW COLUMNS FROM `hd_weibo` [ RunTime:0.009694s ]
[ 2015-07-21T14:28:27+08:00 ] /fweibo/index.php/Index/turn | SQL: INSERT INTO `hd_weibo` (`content`,`isturn`,`time`,`uid`) VALUES ('转发一条试试吧[哈哈]',1,1437460106,'2') [ RunTime:0.334269s ]
[ 2015-07-21T14:28:27+08:00 ] /fweibo/index.php/Index/turn | SQL: UPDATE `hd_weibo` SET `turn`=turn+1 WHERE ( `id` = 1 ) [ RunTime:0.065760s ]
[ 2015-07-21T14:28:27+08:00 ] /fweibo/index.php/Index/turn | SQL: SHOW COLUMNS FROM `hd_userinfo` [ RunTime:0.047902s ]
[ 2015-07-21T14:28:27+08:00 ] /fweibo/index.php/Index/turn | SQL: UPDATE `hd_userinfo` SET `weibo`=weibo+1 WHERE ( `uid` = '2' ) [ RunTime:0.072723s ]
[ 2015-07-21T14:28:27+08:00 ] /fweibo/index.php/Index/turn | SQL: SHOW COLUMNS FROM `hd_comment` [ RunTime:0.008923s ]
[ 2015-07-21T14:28:27+08:00 ] /fweibo/index.php/Index/turn | SQL: INSERT INTO `hd_comment` (`content`,`time`,`uid`) VALUES ('转发一条试试吧[哈哈]',1437460107,'2') [ RunTime:0.034833s ]
[ 2015-07-21T14:28:27+08:00 ] /fweibo/index.php/Index/turn | INFO: Tag[ view_template ] --START--
[ 2015-07-21T14:28:27+08:00 ] /fweibo/index.php/Index/turn | INFO: Run LocationTemplate Behavior [ RunTime:0.002383s ]
