[ 2015-07-19T23:01:10+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2015-07-19T23:01:12+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ route_check ] --START--
[ 2015-07-19T23:01:12+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Run CheckRoute Behavior [ RunTime:0.000995s ]
[ 2015-07-19T23:01:12+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001073s ]
[ 2015-07-19T23:01:12+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ app_begin ] --START--
[ 2015-07-19T23:01:12+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000779s ]
[ 2015-07-19T23:01:12+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000849s ]
[ 2015-07-19T23:01:58+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ route_check ] --START--
[ 2015-07-19T23:01:58+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Run CheckRoute Behavior [ RunTime:0.001039s ]
[ 2015-07-19T23:01:58+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001143s ]
[ 2015-07-19T23:01:58+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ app_begin ] --START--
[ 2015-07-19T23:01:58+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000679s ]
[ 2015-07-19T23:01:58+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000771s ]
[ 2015-07-19T23:02:02+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ route_check ] --START--
[ 2015-07-19T23:02:02+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Run CheckRoute Behavior [ RunTime:0.000735s ]
[ 2015-07-19T23:02:02+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000806s ]
[ 2015-07-19T23:02:02+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ app_begin ] --START--
[ 2015-07-19T23:02:02+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000452s ]
[ 2015-07-19T23:02:02+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000497s ]
[ 2015-07-19T23:02:04+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ route_check ] --START--
[ 2015-07-19T23:02:04+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Run CheckRoute Behavior [ RunTime:0.000631s ]
[ 2015-07-19T23:02:04+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000691s ]
[ 2015-07-19T23:02:04+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ app_begin ] --START--
[ 2015-07-19T23:02:04+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000383s ]
[ 2015-07-19T23:02:04+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000429s ]
